"","Y","Y2","FEM","AGE","EDU"
"1",87.5,88.5,1,61,12
"2",37.5,38.5,1,37,16
"3",0,1,0,52,12
"4",700,701,0,41,16
"5",87.5,88.5,1,56,12
"6",375,376,0,57,12
"7",2750,2751,1,50,12
"8",325,326,0,36,12
"9",800,801,1,45,18
"10",425,426,0,63,14
"11",87.5,88.5,1,42,14
"12",325,326,1,29,14
"13",500,501,1,50,12
"14",325,326,0,28,18
"15",425,426,0,43,12
"16",275,276,0,38,12
"17",600,601,0,52,12
"18",500,501,0,43,12
"19",425,426,0,40,12
"20",62.5,63.5,1,29,14
"21",325,326,0,46,12
"22",175,176,0,61,9
"23",500,501,1,57,12
"24",112.5,113.5,1,40,14
"25",800,801,0,39,16
"26",87.5,88.5,1,52,12
"27",325,326,0,58,16
"28",62.5,63.5,1,39,12
"29",425,426,0,59,9
"30",500,501,0,37,16
"31",137.5,138.5,0,56,16
"32",225,226,1,28,14
"33",425,426,1,45,16
"34",0,1,1,27,12
"35",137.5,138.5,1,41,12
"36",225,226,0,57,12
"37",375,376,0,37,16
"38",62.5,63.5,1,59,12
"39",425,426,1,33,16
"40",700,701,0,42,12
"41",325,326,1,26,14
"42",137.5,138.5,1,22,12
"43",700,701,0,44,12
"44",225,226,1,24,16
"45",325,326,0,61,12
"46",375,376,0,46,12
"47",375,376,0,40,12
"48",112.5,113.5,1,39,14
"49",137.5,138.5,0,44,12
"50",175,176,1,51,12
"51",0,1,1,63,16
"52",25,26,1,59,12
"53",87.5,88.5,1,52,14
"54",225,226,1,49,12
"55",112.5,113.5,1,35,12
"56",112.5,113.5,1,61,12
"57",87.5,88.5,1,42,12
"58",325,326,1,27,12
"59",700,701,0,41,12
"60",600,601,0,49,14
"61",325,326,0,41,12
"62",0,1,0,62,9
"63",87.5,88.5,0,59,12
"64",37.5,38.5,1,39,14
"65",137.5,138.5,1,54,12
"66",500,501,0,39,16
"67",0,1,1,60,12
"68",425,426,1,46,12
"69",2275,2276,0,54,9
"70",325,326,1,31,16
"71",87.5,88.5,1,45,12
"72",112.5,113.5,1,24,14
"73",0,1,1,31,12
"74",87.5,88.5,1,64,12
"75",425,426,1,28,12
"76",175,176,1,48,16
"77",2750,2751,0,48,16
"78",1100,1101,0,43,18
"79",175,176,0,57,16
"80",375,376,0,38,16
"81",25,26,1,50,12
"82",900,901,1,49,14
"83",175,176,1,57,12
"84",37.5,38.5,1,22,16
"85",325,326,0,39,12
"86",700,701,0,34,16
"87",137.5,138.5,0,58,16
"88",225,226,1,28,14
"89",1200,1201,1,50,12
"90",1000,1001,0,57,16
"91",325,326,0,41,12
"92",900,901,0,59,16
"93",137.5,138.5,1,36,12
"94",500,501,0,42,12
"95",800,801,0,41,16
"96",900,901,0,52,12
"97",37.5,38.5,1,62,9
"98",275,276,1,26,18
