"","gender","agecohort","indivincome","evalincome"
"1","female","ar30",225,7
"2","female","ar40",87.5,4
"3","female","ar50",137.5,4
"4","male","ar50",500,5
"5","male","ar30",325,3
"6","female","ar30",87.5,3
"7","female","ar30",275,5
"8","male","ar40",500,5
"9","male","ar40",425,4
"10","male","ar60",175,7
"11","female","ar60",112.5,2
"12","male","ar60",600,4
"13","male","ar50",112.5,1
"14","female","ar60",137.5,4
"15","male","ar60",225,6
"16","female","ar40",175,4
"17","female","ar40",62.5,4
"18","female","ar50",600,5
"19","female","ar50",225,6
"20","male","ar60",2750,8
"21","male","ar40",1100,7
"22","female","ar50",62.5,1
"23","female","ar40",112.5,8
"24","male","ar40",425,5
"25","female","ar30",175,4
"26","male","ar50",275,6
"27","male","ar50",900,7
"28","male","ar50",325,7
"29","male","ar30",375,3
"30","female","ar60",225,6
"31","female","ar60",112.5,8
"32","female","ar60",87.5,3
"33","female","ar30",62.5,3
"34","male","ar60",225,4
"35","male","ar40",800,7
"36","female","ar60",275,4
"37","female","ar40",225,4
"38","male","ar30",225,3
"39","male","ar40",325,2
"40","female","ar30",13,2
"41","male","ar30",325,5
"42","female","ar30",175,3
"43","female","ar60",37.5,1
"44","male","ar60",375,3
"45","male","ar50",700,6
"46","female","ar50",137.5,4
"47","female","ar50",375,6
"48","male","ar40",600,6
"49","female","ar30",425,3
"50","female","ar60",112.5,4
"51","female","ar40",425,6
"52","male","ar30",275,3
"53","female","ar60",425,5
"54","female","ar60",225,2
"55","male","ar30",500,4
"56","female","ar50",112.5,2
"57","male","ar40",600,6
"58","male","ar60",600,6
"59","male","ar40",500,6
"60","female","ar50",37.5,4
"61","female","ar40",175,3
"62","female","ar50",325,4
"63","female","ar50",13,4
"64","male","ar40",425,3
"65","male","ar50",425,4
"66","male","ar60",375,3
"67","female","ar50",275,3
"68","male","ar40",1100,7
"69","female","ar50",500,7
"70","male","ar60",1000,6
"71","male","ar40",500,5
"72","male","ar60",800,6
"73","male","ar50",700,6
"74","male","ar60",175,3
"75","male","ar40",500,3
"76","female","ar60",325,3
"77","female","ar30",375,7
"78","male","ar50",700,6
"79","male","ar40",225,2
"80","male","ar60",600,6
"81","male","ar60",600,6
"82","female","ar60",87.5,6
"83","male","ar60",225,5
"84","male","ar40",112.5,6
"85","female","ar30",325,6
