"","edu.h","origin"
"1",0,0
"2",0,0
"3",1,1
"4",0,0
"5",0,0
"6",0,0
"7",0,1
"8",1,1
"9",1,1
"10",0,0
"11",1,0
"12",0,0
"13",0,0
"14",1,1
"15",1,0
"16",1,1
"17",0,0
"18",1,1
"19",0,0
"20",0,0
"21",1,0
"22",0,0
"23",1,0
"24",0,0
"25",1,1
"26",1,1
"27",1,1
"28",0,1
"29",1,0
"30",0,0
"31",1,1
"32",1,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",1,0
"42",1,0
"43",0,0
"44",0,1
"45",1,0
"46",1,0
"47",1,0
"48",1,0
"49",0,0
"50",0,0
"51",1,1
"52",0,1
"53",1,0
"54",0,0
"55",1,1
"56",1,1
"57",0,0
"58",1,0
"59",1,0
"60",0,0
"61",1,0
"62",1,1
"63",0,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",0,0
"69",1,1
"70",1,0
"71",1,0
"72",0,0
"73",1,0
"74",0,1
"75",1,1
"76",0,0
"77",1,0
"78",0,0
"79",0,1
"80",1,1
"81",1,0
"82",0,0
"83",1,0
"84",1,0
"85",0,0
"86",1,1
"87",0,0
"88",0,1
"89",0,0
"90",1,0
"91",1,0
"92",1,0
"93",0,0
"94",1,1
"95",1,1
"96",0,0
"97",0,0
"98",1,1
"99",1,1
"100",0,0
"101",0,0
"102",0,0
"103",1,0
"104",0,0
"105",1,0
"106",1,1
"107",0,0
"108",1,0
"109",1,0
"110",0,0
"111",1,0
"112",1,0
"113",0,0
"114",0,0
"115",0,0
"116",0,0
"117",1,0
"118",0,0
"119",0,1
"120",1,1
"121",1,0
"122",1,0
"123",0,0
"124",1,0
"125",0,0
"126",0,0
"127",1,0
"128",1,1
"129",1,0
"130",1,0
"131",0,1
"132",0,0
"133",1,0
"134",0,0
"135",1,1
"136",0,0
"137",0,0
"138",1,0
"139",1,0
"140",0,0
"141",1,0
"142",0,0
"143",1,1
"144",0,0
"145",0,0
"146",1,1
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",1,1
"155",1,1
"156",0,0
"157",0,0
"158",1,1
"159",0,0
"160",0,0
"161",1,0
"162",0,0
"163",0,0
"164",0,0
"165",1,0
"166",0,0
"167",1,1
"168",0,0
"169",0,1
"170",1,0
"171",1,1
"172",0,0
"173",0,0
"174",1,0
"175",1,0
"176",0,0
"177",1,0
"178",0,0
"179",0,1
"180",1,0
"181",1,0
"182",0,0
"183",0,0
"184",0,0
"185",1,1
"186",0,0
"187",1,1
"188",0,0
"189",1,1
"190",1,1
"191",0,0
"192",1,0
"193",0,1
"194",0,0
"195",0,0
"196",0,0
"197",0,0
"198",1,1
"199",1,1
"200",1,1
"201",1,0
"202",1,0
"203",1,1
"204",0,0
"205",0,0
"206",1,0
"207",0,1
"208",0,0
"209",0,0
"210",1,0
"211",1,0
